iter,selected_dim,E_var,gap_mHa,added,gain_mHa,gain_per_kdet,candidate_count,top_score,wall_seconds,dt_sec,calc_gain_mHa,calc_gain_per_kdet
49,50001,-2086.648622142492,2.21117287083,1000,0.079098463175,0.079098463175,300000,0.0004105030523831,986.052,24.76400000000001,0.0790984631749998,0.0790984631749998
50,51001,-2086.6486964201054,2.136895257536,1000,0.074277613294,0.074277613294,300000,0.0003920865257809,1015.066,29.01400000000001,0.07427761329399996,0.07427761329399996
51,52001,-2086.6487694917782,2.063823584194,1000,0.073071673341,0.073071673341,300000,0.0004045687411601,1041.267,26.201000000000022,0.07307167334200004,0.07307167334200004
52,53001,-2086.648837049819,1.996265543767,1000,0.067558040428,0.067558040428,300000,0.0003613803047984,1067.334,26.067000000000007,0.06755804042699998,0.06755804042699998
53,54001,-2086.648902438697,1.930876665938,1000,0.065388877829,0.065388877829,300000,0.0003639554123954,1091.38,24.04600000000005,0.06538887782900016,0.06538887782900016
54,55001,-2086.648965849902,1.867465460236,1000,0.063411205701,0.063411205701,300000,0.0003595036096771,1115.567,24.186999999999898,0.06341120570199998,0.06341120570199998
55,56001,-2086.6490270044874,1.806310875509,1000,0.061154584728,0.061154584728,300000,0.0003458719900796,1139.835,24.26800000000003,0.06115458472699986,0.06115458472699986
56,57001,-2086.649086968752,1.746346611071,1000,0.059964264437,0.059964264437,300000,0.0003489957207717,1172.588,32.75299999999993,0.05996426443800007,0.05996426443800007
57,58001,-2086.649142743392,1.690571970812,1000,0.055774640259,0.055774640259,300000,0.0003784563154426,1198.064,25.476000000000113,0.05577464025900003,0.05577464025900003
58,59001,-2086.6491967563175,1.636559044982,1000,0.05401292583,0.05401292583,300000,0.0003357449822079,1224.159,26.095000000000027,0.05401292582999995,0.05401292582999995
59,60001,-2086.6492484006867,1.584914676187,1000,0.051644368796,0.051644368796,300000,0.0003431154333787,1250.228,26.06899999999996,0.051644368794999895,0.051644368794999895
60,61001,-2086.649296949364,1.536365998618,1000,0.048548677569,0.048548677569,300000,0.0003255276107025,1280.009,29.78099999999995,0.048548677569000054,0.048548677569000054
61,62001,-2086.6493437160343,1.489599328579,1000,0.046766670039,0.046766670039,300000,0.0003290264394198,1305.032,25.02299999999991,0.04676667003900015,0.04676667003900015
62,63001,-2086.6493897044447,1.443610917704,1000,0.045988410875,0.045988410875,300000,0.0002937732334865,1330.732,25.700000000000045,0.04598841087499994,0.04598841087499994
63,64001,-2086.6494343451554,1.398970207447,1000,0.044640710257,0.044640710257,300000,0.0002868343777781,1359.486,28.754000000000133,0.044640710256999894,0.044640710256999894
64,65001,-2086.64947715284,1.356162522825,1000,0.042807684622,0.042807684622,300000,0.0003096195488291,1385.812,26.325999999999794,0.04280768462200002,0.04280768462200002
65,66001,-2086.6495174363686,1.315878994319,1000,0.040283528506,0.040283528506,300000,0.0002797537817416,1412.318,26.506000000000085,0.040283528506000144,0.040283528506000144
66,67001,-2086.649557583317,1.275732045997,1000,0.040146948322,0.040146948322,300000,0.0002821540883288,1445.226,32.90800000000013,0.04014694832199983,0.04014694832199983
67,68001,-2086.649596245099,1.237070263869,1000,0.038661782128,0.038661782128,300000,0.0002825772868488,1476.239,31.01299999999992,0.03866178212799998,0.03866178212799998
68,69001,-2086.6496323626684,1.200952694489,1000,0.03611756938,0.03611756938,300000,0.0002673639668348,1500.905,24.66599999999994,0.03611756937999999,0.03611756937999999
69,70001,-2086.64966737793,1.165937432233,1000,0.035015262256,0.035015262256,300000,0.0002622046400164,1530.896,29.990999999999985,0.035015262256000046,0.035015262256000046
70,71001,-2086.6497004376984,1.132877664531,1000,0.033059767702,0.033059767702,300000,0.0002466692402893,1558.974,28.077999999999975,0.03305976770200014,0.03305976770200014
71,72001,-2086.649732778625,1.10053673734,1000,0.032340927191,0.032340927191,300000,0.0002422457791122,1587.416,28.442000000000007,0.03234092719100001,0.03234092719100001
72,73001,-2086.6497642347663,1.069080596608,1000,0.031456140732,0.031456140732,300000,0.0002429642222664,1628.294,40.878000000000156,0.03145614073199998,0.03145614073199998
73,74001,-2086.6497933486908,1.039966672124,1000,0.029113924484,0.029113924484,300000,0.0002514849333157,1658.299,30.00499999999988,0.029113924483999964,0.029113924483999964
74,75001,-2086.6498217672,1.011548162751,1000,0.028418509373,0.028418509373,300000,0.0002487014223766,1690.548,32.249000000000024,0.028418509373000056,0.028418509373000056
75,76001,-2086.649849260048,0.984055314802,1000,0.027492847948,0.027492847948,300000,0.0002458101454215,1723.614,33.06600000000003,0.027492847948999866,0.027492847948999866
76,77001,-2086.6498757187114,0.95759665146,1000,0.026458663342,0.026458663342,300000,0.0002501988744606,1758.397,34.7829999999999,0.02645866334200009,0.02645866334200009
77,78001,-2086.649901830944,0.931484419198,1000,0.026112232263,0.026112232263,300000,0.0002214793737696,1790.363,31.966000000000122,0.02611223226199999,0.02611223226199999
78,79001,-2086.6499271422504,0.906173112526,1000,0.025311306672,0.025311306672,300000,0.0002193355504708,1825.419,35.05600000000004,0.02531130667199999,0.02531130667199999
79,80001,-2086.6499509617097,0.882353653196,1000,0.023819459329,0.023819459329,300000,0.0002197869565702,1852.751,27.33199999999988,0.02381945932999996,0.02381945932999996
80,81001,-2086.649974385205,0.858930157392,1000,0.023423495804,0.023423495804,300000,0.000217075653162,1876.16,23.409000000000106,0.02342349580400005,0.02342349580400005
81,82001,-2086.6499969465062,0.836368856653,1000,0.022561300739,0.022561300739,300000,0.0002045753781131,1904.475,28.314999999999827,0.02256130073899998,0.02256130073899998
82,83001,-2086.6500189470694,0.814368293504,1000,0.022000563149,0.022000563149,300000,0.0002005042073706,1930.084,25.60900000000015,0.022000563149000008,0.022000563149000008
83,84001,-2086.650040024092,0.793291270838,1000,0.021077022666,0.021077022666,300000,0.0002271096647039,1961.148,31.06399999999985,0.021077022665999978,0.021077022665999978
84,85001,-2086.650061016501,0.772298861648,1000,0.020992409191,0.020992409191,300000,0.00019937302881,1983.434,22.286000000000058,0.020992409190000005,0.020992409190000005
85,86001,-2086.650080950574,0.752364788241,1000,0.019934073407,0.019934073407,300000,0.0001973640823951,2006.99,23.55600000000004,0.01993407340700004,0.01993407340700004
86,87001,-2086.6500999817895,0.733333572953,1000,0.019031215288,0.019031215288,300000,0.0001938539019511,2033.537,26.547000000000025,0.019031215288000003,0.019031215288000003
87,88001,-2086.6501187728377,0.714542525202,1000,0.018791047751,0.018791047751,300000,0.0001902915779325,2065.853,32.31600000000003,0.018791047750999934,0.018791047750999934
88,89001,-2086.650136928259,0.696387103744,1000,0.018155421458,0.018155421458,300000,0.0001848909683111,2089.632,23.778999999999996,0.018155421457999976,0.018155421457999976
89,90001,-2086.650154641613,0.678673749917,1000,0.017713353827,0.017713353827,300000,0.0001892546564207,2114.422,24.789999999999964,0.01771335382700001,0.01771335382700001
90,91001,-2086.650171715484,0.66159987955,1000,0.017073870367,0.017073870367,300000,0.0001900966670371,2135.622,21.199999999999818,0.017073870367000032,0.017073870367000032
91,92001,-2086.650188349662,0.644965700758,1000,0.016634178792,0.016634178792,300000,0.0001764427396453,2160.311,24.689000000000306,0.01663417879200002,0.01663417879200002
92,93001,-2086.6502043161445,0.628999218407,1000,0.015966482351,0.015966482351,300000,0.0001876392653342,2183.71,23.398999999999887,0.015966482350999955,0.015966482350999955
93,94001,-2086.650219648365,0.613666997651,1000,0.015332220755,0.015332220755,300000,0.0001841381166531,2212.502,28.791999999999916,0.015332220756000048,0.015332220756000048
94,95001,-2086.65023446065,0.598854712734,1000,0.014812284917,0.014812284917,300000,0.0001810248994662,2236.222,23.720000000000255,0.01481228491699993,0.01481228491699993
95,96001,-2086.6502487882967,0.584527066167,1000,0.014327646568,0.014327646568,300000,0.0001772434063285,2262.698,26.475999999999658,0.01432764656700003,0.01432764656700003
96,97001,-2086.650262801455,0.57051390786,1000,0.014013158307,0.014013158307,300000,0.000175155872005,2286.531,23.833000000000084,0.014013158307000007,0.014013158307000007
97,98001,-2086.650276389881,0.556925481305,1000,0.013588426555,0.013588426555,300000,0.000163194149891,2309.618,23.08699999999999,0.013588426555000033,0.013588426555000033
98,99001,-2086.650289465721,0.543849641872,1000,0.013075839433,0.013075839433,300000,0.0001641724379699,2338.028,28.409999999999854,0.013075839432999947,0.013075839432999947
99,100001,-2086.6503024329195,0.5308824434,1000,0.012967198472,0.012967198472,300000,0.0001611968734195,2362.022,23.994000000000142,0.012967198472000008,0.012967198472000008
