tail_points,linear_slope_mHa_per_kdet,projected_dim_for_0p5_mHa,projected_extra_dets
5,-0.01339535115219992,102281.56774841492,2280.56774841492
10,-0.014475302660618217,101958.79277726047,1957.7927772604744
20,-0.017178407660971416,100936.61283605386,935.6128360538569
30,-0.020441634005462974,99526.32565324513,0.0
