iter,selected_dim,E_var,gap_mHa,added,gain_mHa,gain_per_kdet,candidate_count,top_score,top_abs_residual,top_denom_signed,pt2_pool_Ha,wall_seconds
35,36001,-2086.6471313037231994,3.702011639689,1000,0.161321906489,0.161321906489,807882,2.528385724132855e-07,0.0005285447108301407,-1.1048927728079434,-0.0032145518193664913,411.767
36,37001,-2086.6472825292012203,3.550786161668,1000,0.151225478021,0.151225478021,807535,2.1734512879493032e-07,0.0005406897540783563,-1.3450745907498458,-0.0030914857983463688,422.440
37,38001,-2086.6474267034723198,3.406611890568,1000,0.144174271099,0.144174271099,807305,1.9396090760674837e-07,0.0005469217233289637,-1.542183809820017,-0.0029713171728561116,435.544
38,39001,-2086.6475628569746732,3.270458388215,1000,0.136153502353,0.136153502353,806910,1.8485708309397683e-07,0.0005666352331398581,-1.7368849603249146,-0.002861045119640747,445.841
39,40001,-2086.6476917536360816,3.141561726807,1000,0.128896661408,0.128896661408,806433,1.717031302524205e-07,0.000522098139661291,-1.5875451253396022,-0.002751931534847245,462.901
40,41001,-2086.6478148443170539,3.018471045834,1000,0.123090680972,0.123090680972,805912,1.7216493464405776e-07,0.0006065935427136328,-2.137228041369781,-0.0026514243893309957,480.823
41,42001,-2086.6479311465459432,2.902168816945,1000,0.116302228889,0.116302228889,805325,1.5786873019453255e-07,0.00047922030120189197,-1.454702883851951,-0.0025573343067125747,498.869
42,43001,-2086.6480423847378916,2.790930624997,1000,0.111238191948,0.111238191948,804863,1.4874525342734656e-07,0.0005071666236202725,-1.729251711820325,-0.002461797030666005,516.082
43,44001,-2086.6481483765951452,2.684938767743,1000,0.105991857254,0.105991857254,804360,1.3616145900141795e-07,0.00047573429419084953,-1.6621672559112994,-0.0023675648227520153,531.757
44,45001,-2086.6482480177210164,2.585297641872,1000,0.099641125871,0.099641125871,803850,1.4138375896009947e-07,0.0005768276846043042,-2.3533833035226053,-0.002285665724807043,548.244
45,46001,-2086.6483417761992314,2.491539163657,1000,0.093758478215,0.093758478215,803441,1.2152444582004084e-07,0.0003659725513313556,-1.1021314059421456,-0.002207860518743763,563.530
46,47001,-2086.6484298410568954,2.403474305993,1000,0.088064857664,0.088064857664,802835,1.2272381597693567e-07,0.0005068036677437722,-2.0929104558385916,-0.0021306302495482715,576.490
47,48001,-2086.6485141075559113,2.319207806977,1000,0.084266499016,0.084266499016,802212,1.0376623410666357e-07,0.00034176569452594175,-1.1256435290379159,-0.002060042894928785,591.532
48,49001,-2086.6485944702117195,2.238845151169,1000,0.080362655808,0.080362655808,801489,1.0272454121334804e-07,0.000316589960319518,-0.9757084508846674,-0.0019871703030923146,605.425
49,50001,-2086.6486710463750569,2.162268987831,1000,0.076576163337,0.076576163337,800756,9.515654505623972e-08,0.00035724495817200614,-1.3412000200710281,-0.0019198183949359138,619.321
50,51001,-2086.6487448783473155,2.088437015573,1000,0.073831972259,0.073831972259,800124,8.776319087179973e-08,0.0004149232844889942,-1.9616576186549537,-0.0018546257430769007,634.178
51,52001,-2086.6488151150642807,2.018200298608,1000,0.070236716965,0.070236716965,799507,8.504414285039971e-08,0.00029548604055406615,-1.026666825438042,-0.001795342603393976,643.444
52,53001,-2086.6488827812618183,1.950534101070,1000,0.067666197538,0.067666197538,798669,8.532587576074277e-08,0.000271854075790884,-0.8661456781451307,-0.0017383098330788192,657.012
53,54001,-2086.6489472039907014,1.886111372187,1000,0.064422728883,0.064422728883,797822,8.184227094943538e-08,0.0004547499447149396,-2.5267812075499023,-0.0016796469405290088,670.692
54,55001,-2086.6490095649382965,1.823750424592,1000,0.062360947595,0.062360947595,796967,9.081661318578967e-08,0.00038248085887264356,-1.6108463228492838,-0.0016290670618315309,686.389
55,56001,-2086.6490693614123302,1.763953950558,1000,0.059796474034,0.059796474034,796099,7.335502794692709e-08,0.00030912577571928584,-1.3026884167120443,-0.0015800029450998767,695.963
56,57001,-2086.6491263343291394,1.706981033749,1000,0.056972916809,0.056972916809,795268,7.69050321496946e-08,0.00030048180627846436,-1.1740365146538352,-0.0015319393712056905,705.837
57,58001,-2086.6491808105506607,1.652504812228,1000,0.054476221521,0.054476221521,794457,7.298265018887849e-08,0.00031667293747957964,-1.3740491619914792,-0.001483488436058876,714.833
58,59001,-2086.6492333308133311,1.599984549557,1000,0.052520262670,0.052520262670,793638,6.997003683364512e-08,0.00033650329583874753,-1.6183279762958591,-0.0014368873933795854,723.338
59,60001,-2086.6492836292604807,1.549686102408,1000,0.050298447150,0.050298447150,792773,7.354119513311521e-08,0.0003725601409490226,-1.8873919355364706,-0.001392860237763087,731.979
60,61001,-2086.6493322519222602,1.501063440628,1000,0.048622661780,0.048622661780,791935,5.982502771349806e-08,0.00030166110402572927,-1.5210928462552147,-0.0013515455616626183,743.515
61,62001,-2086.6493790574768354,1.454257886053,1000,0.046805554575,0.046805554575,791038,5.685996923698447e-08,0.0002898352730688259,-1.4773923841703436,-0.0013102335098898936,753.121
62,63001,-2086.6494238546815723,1.409460681316,1000,0.044797204737,0.044797204737,790136,5.802668886277333e-08,0.0003884923648373974,-2.600981039843191,-0.001270888147869032,769.751
63,64001,-2086.6494672232943230,1.366092068565,1000,0.043368612751,0.043368612751,789306,5.382262503822631e-08,0.000314257815314078,-1.8348784440713644,-0.0012319665445100958,780.829
64,65001,-2086.6495091544516072,1.324160911281,1000,0.041931157284,0.041931157284,788404,5.1929807985513785e-08,0.00024223762075792154,-1.1299688403782966,-0.0011941061502068525,790.297
65,66001,-2086.6495492987514808,1.284016611407,1000,0.040144299874,0.040144299874,787509,5.698013700865496e-08,0.00032860646750926216,-1.8950851324298128,-0.0011593221836288916,801.705
66,67001,-2086.6495875800401336,1.245735322755,1000,0.038281288653,0.038281288653,786587,5.395046879011372e-08,0.00032022969827333217,-1.9007630879941644,-0.0011256875385748737,812.680
67,68001,-2086.6496245286348312,1.208786728057,1000,0.036948594698,0.036948594698,785695,5.1592150296060486e-08,0.0003544369857349882,-2.434974625713494,-0.0010927599977146201,823.539
68,69001,-2086.6496600205532559,1.173294809632,1000,0.035491918425,0.035491918425,784771,4.4017461969596955e-08,0.00022267981721578342,-1.126514314466931,-0.0010609465915003228,835.208
69,70001,-2086.6496940062434078,1.139309119480,1000,0.033985690152,0.033985690152,783847,4.076272200781759e-08,0.00022241864528631535,-1.2136101647361102,-0.0010299350438037448,845.313
70,71001,-2086.6497267123700112,1.106602992877,1000,0.032706126603,0.032706126603,782888,3.976425492782945e-08,0.0002221720177656328,-1.2413260494290626,-0.0010009114024145671,855.082
71,72001,-2086.6497582725742177,1.075042788671,1000,0.031560204206,0.031560204206,781972,3.9988772554780384e-08,0.00029468146787929003,-2.1715387085846487,-0.0009735847313401984,866.350
72,73001,-2086.6497885451694856,1.044770193403,1000,0.030272595268,0.030272595268,781005,3.521102119900622e-08,0.00025582878651151314,-1.8587466588387542,-0.0009461448781938079,875.868
73,74001,-2086.6498178030642521,1.015512298636,1000,0.029257894766,0.029257894766,780048,3.852956704850468e-08,0.00020064309324197176,-1.0448508496092472,-0.0009202539409747505,884.593
74,75001,-2086.6498459437498241,0.987371613064,1000,0.028140685572,0.028140685572,779075,3.698086429752554e-08,0.00019593416949924045,-1.0381098307625507,-0.0008954570053981121,892.791
75,76001,-2086.6498730180755956,0.960297287293,1000,0.027074325772,0.027074325772,778133,3.891693005021303e-08,0.00023422796973688483,-1.4097397131858997,-0.0008710646079075271,904.878
76,77001,-2086.6498991531821048,0.934162180783,1000,0.026135106509,0.026135106509,777171,3.3431058727700354e-08,0.0002805008029873018,-2.35352105110951,-0.0008472866860222818,912.677
77,78001,-2086.6499244043002363,0.908911062652,1000,0.025251118132,0.025251118132,776246,3.208670430243622e-08,0.0002411270180972638,-1.8120352376627125,-0.0008251677669238447,923.369
78,79001,-2086.6499488293511604,0.884486011728,1000,0.024425050924,0.024425050924,775303,2.878500314478242e-08,0.00023412770060836095,-1.9043173251170629,-0.000803406070865514,933.312
79,80001,-2086.6499723583178820,0.860957045006,1000,0.023528966722,0.023528966722,774327,2.8595608094014974e-08,0.00017119008136938334,-1.0248442300267016,-0.0007813942373605739,944.704
80,81001,-2086.6499952435078740,0.838071855014,1000,0.022885189992,0.022885189992,773356,2.7721642871998307e-08,0.00017292767966794263,-1.0787233113642287,-0.0007608237654520804,955.087
81,82001,-2086.6500172800197106,0.816035343178,1000,0.022036511837,0.022036511837,772393,2.711255373340775e-08,0.00022929283069549104,-1.93914607695433,-0.0007405359136469935,965.989
82,83001,-2086.6500386814282137,0.794633934674,1000,0.021401408503,0.021401408503,771422,2.5142750849392273e-08,0.0001730496460726461,-1.1910462854780235,-0.0007216212970714021,975.315
83,84001,-2086.6500593331561504,0.773982206738,1000,0.020651727937,0.020651727937,770453,2.7575046330639657e-08,0.00020174422961911483,-1.4759987597694817,-0.0007029341750727103,987.053
84,85001,-2086.6500793464856542,0.753968877234,1000,0.020013329504,0.020013329504,769487,2.7852842405794626e-08,0.0001646441625093229,-0.9732471771985729,-0.0006849863615670253,996.983
85,86001,-2086.6500987373487987,0.734578014089,1000,0.019390863145,0.019390863145,768504,2.7767357002014146e-08,0.00021009591949313204,-1.5896469867284395,-0.000667782842021213,1006.496
86,87001,-2086.6501174942350190,0.715821127869,1000,0.018756886220,0.018756886220,767530,2.3462047727336326e-08,0.00016489288203639732,-1.1588784944201507,-0.000650669957703402,1017.242
87,88001,-2086.6501357226675282,0.697592695360,1000,0.018228432509,0.018228432509,766550,2.1256753106104433e-08,0.0001348685475124777,-0.8557057146654188,-0.0006345593520309235,1026.849
88,89001,-2086.6501531797821372,0.680135580751,1000,0.017457114609,0.017457114609,765569,2.1862207534266687e-08,0.00017903118291287066,-1.466099176167063,-0.000618855394288548,1038.313
89,90001,-2086.6501702431960439,0.663072166844,1000,0.017063413907,0.017063413907,764579,2.1159922007846176e-08,0.00016450966338005417,-1.2789947588362338,-0.0006038972234957632,1048.334
90,91001,-2086.6501868286736681,0.646486689220,1000,0.016585477624,0.016585477624,763591,1.9683123709186946e-08,0.0001902229385796756,-1.8383650327309624,-0.0005894953295756273,1058.687
91,92001,-2086.6502028912204878,0.630424142400,1000,0.016062546820,0.016062546820,762597,1.9900706497543305e-08,0.00019927720659119292,-1.99547714909977,-0.0005753944036702911,1068.540
92,93001,-2086.6502184607834351,0.614854579453,1000,0.015569562947,0.015569562947,761613,2.076327170168849e-08,0.00018591251205805093,-1.664644312144901,-0.0005615010343021886,1079.775
93,94001,-2086.6502336311491490,0.599684213739,1000,0.015170365714,0.015170365714,760623,2.701143818841938e-08,0.00018815655875686335,-1.3106629256935776,-0.0005481028980491358,1090.961
94,95001,-2086.6502482615210283,0.585053841860,1000,0.014630371879,0.014630371879,759635,1.9219496667339385e-08,0.00015971183485382007,-1.3271872117088606,-0.0005347917429462297,1101.105
95,96001,-2086.6502624513768751,0.570863986013,1000,0.014189855847,0.014189855847,758650,1.8775431916722434e-08,0.00016760593579142716,-1.4961972559203787,-0.0005221541369436544,1112.198
96,97001,-2086.6502762267359685,0.557088626920,1000,0.013775359093,0.013775359093,757668,1.6580267040025572e-08,0.000152093870713915,-1.3951853400731125,-0.0005100563718770895,1124.291
97,98001,-2086.6502895507292124,0.543764633676,1000,0.013323993244,0.013323993244,756680,1.686452495594535e-08,0.0001255651842655404,-0.9348982874303147,-0.0004979019027078706,1133.163
98,99001,-2086.6503025006077223,0.530814755166,1000,0.012949878510,0.012949878510,755690,1.516290331451421e-08,0.0001291636522109424,-1.1002674558044419,-0.0004860377073156474,1142.103
99,100001,-2086.6503150797834678,0.518235579420,1000,0.012579175745,0.012579175745,754698,1.6186324206690708e-08,0.00016564817780843793,-1.6952161874969534,-0.0004746224788532983,1151.535
100,101001,-2086.6503272716431638,0.506043719724,1000,0.012191859696,0.012191859696,753704,1.5856200463728493e-08,0.00013711234917532635,-1.1856432024419519,-0.00046341863750281546,1159.663
101,102001,-2086.6503390375410163,0.494277821872,1000,0.011765897852,0.011765897852,752706,1.4095483401694288e-08,0.00017785889786678673,-2.244249923815005,-0.0004522392031549996,1168.336
