threshold_mHa,selected_dim,gap_mHa,wall_seconds,wall_minutes
5.0,30001,4.820262805424,331.421,5.5236833333333335
2.0,53001,1.95053410107,657.012,10.950199999999999
1.6,59001,1.599984549557,723.338,12.055633333333333
1.0,75001,0.987371613064,892.791,14.879850000000001
0.8,83001,0.794633934674,975.315,16.25525
0.6,94001,0.599684213739,1090.961,18.182683333333333
0.55,98001,0.543764633676,1133.163,18.88605
0.5,102001,0.494277821872,1168.336,19.472266666666666
