selected_dim,gap_mHa_v23,wall_seconds_v23,gap_mHa_v22,wall_seconds_v22,gap_improvement_mHa,wall_speedup_v23_vs_v22
10001,17.924734715962,65.984,18.415817965888,89.367,0.4910832499259996,1.3543737875848691
20001,8.145857586442,200.932,8.291479457966,283.102,0.14562187152399986,1.4089443194712639
30001,4.820262805424,331.421,4.922165891912,495.334,0.10190308648799995,1.4945763847191338
50001,2.162268987831,619.321,2.21117287083,986.052,0.04890388299899984,1.592150112784808
75001,0.987371613064,892.791,1.011548162751,1690.548,0.024176549686999893,1.8935540344828743
100001,0.51823557942,1151.535,0.5308824434,2362.022,0.012646863980000034,2.0511942754670938
