tail_points,linear_slope_mHa_per_kdet,projected_dim_for_0p5_mHa,extra_dets_from_final
5,-0.012374465904999932,101506.30149055348,-494.6985094465199
10,-0.013383256207994009,101391.54614027338,-609.4538597266219
20,-0.01572539104153684,100804.05963814932,-1196.9403618506767
30,-0.01868697453006873,99741.16952331796,-2259.8304766820365
