interval,start_dim,end_dim,start_gap,end_gap,gain_mHa,gain_per_1k,runtime_h,gain_mHa_per_h
v21.3: rank-10 opening and production 9126->15000,9126,15000,3.359414024544094,1.6428057597295265,1.7166082648145675,0.2922383835230793,,
v21.3: entire initial 2319->15000,2319,15000,100.77268776194614,1.6428057597295265,99.12988200221662,7.817197539801011,39.118611111111115,2.5340849070702336
v21.3 restart: 15000->20000,15000,20000,1.6428057597295265,1.1022657854482532,0.5405399742812733,0.10810799485625466,37.92944444444444,0.014251196720611252
v21.4b from v21.3: 18000->19100,18000,19100,1.2720924360110075,1.179136352675414,0.09295608333559358,0.08450553030508506,26.735,0.0034769434574749795
failed no-CASSCF 20000->20500,20000,20500,1.1022657854482532,187.742106,-186.63984021455175,-373.2796804291035,3.8719444444444444,
