run_id,role,selected_dim,E_var_Ha,E_ref_Ha,gap_mHa,wall_seconds,wall_minutes,engine,score_mode,json_path,archive
v23_en2_from_zero_20260514_212607,primary,102001,-2086.650339037541,-2086.650833315363,0.4942778218719468,1168.4298000335693,19.473830000559488,clean_full_sector_en2_selected_ci,en2,data/primary_v23_en2_from_zero/cr2_v23_clean_final.json,artifacts/raw_results/primary/v23_runs.zip
v22_residual_from_zero_20260514_203235,supporting,100001,-2086.6503024329195,-2086.650833315363,0.5308824433996051,2362.043786048889,39.367396434148155,clean_full_sector_residual_selected_ci,residual,data/supporting_v22_from_zero/cr2_v22_clean_final.json,artifacts/raw_results/supporting/from_zero_24h_20260514_203235_v22_complete.zip
v22_residual_30k_20260514_170418,preliminary,30000,-2086.645910911841,-2086.650833315363,4.922403521959495,623.8736581802368,10.397894303003946,clean_full_sector_residual_selected_ci,residual,data/supporting_v22_preliminary_30k/cr2_v22_clean_final.json,artifacts/raw_results/supporting/from_zero_24h_20260514_170418_v22_30k.zip
